-5.55111512312578e-18,-1.08355482470856,0.08166536237876
-1.38777878078145e-18,-1.06645365992727,0.049042610197691
-6.93889390390723e-19,-1.04842697088409,0.0163786284321181
0,-1.02948599659128,-0.0163080903495424
0,-1.00964683724387,-0.0489987515627363
2.77555756156289e-18,-0.988930260770625,-0.0816745216725784
0,-0.967361448491912,-0.114316792462179
-5.55111512312578e-18,-0.944969683775033,-0.14690744360434
-5.55111512312578e-18,-0.921787988924618,-0.179429100694479
-5.55111512312578e-18,-0.897852716709513,-0.211865386056788
0,-0.873203103865504,-0.244201159881561
1.11022302462516e-17,-0.847880794593386,-0.276422749580476
0,-0.82192934247532,-0.308518165647002
1.11022302462516e-17,-0.795393699353044,-0.340477302767262
0,-0.768319699556097,-0.372292125428105
0,-0.740753547455208,-0.403956837798503
-1.11022302462516e-17,-0.712741315673692,-0.435468038203709
0,-0.684328460453815,-0.466824859055696
0,-0.655559359686331,-0.498029093637931
0,-0.62647687801252,-0.529085311659738
-2.22044604925031e-17,-0.597121962241425,-0.560000965991055
0,-0.567533269130125,-0.590786493461761
0,-0.537746826386355,-0.621455413064274
2.22044604925031e-17,-0.507795726599151,-0.652024425341217
0,-0.477709852705055,-0.682513517183463
0,-0.447515632567791,-0.712946076723702
