time_s,q1_rad,q2_rad,q3_cm,dq1_rad_s,dq2_rad_s,dq3_cm_s,ddq1_rad_s2,ddq2_rad_s2,ddq3_cm_s2
0,2.23976335496566,-1.3879736623364,-1,-0,-0,0,-0.102133567485376,-0.0604992542911529,0
0.01,2.23975824828729,-1.38797668729911,-1,-0.00102133567485376,-0.000604992542911529,0,-0.102133567485376,-0.0604992542911529,0
0.02,2.23974292825217,-1.38798576218726,-1,-0.00204267134970753,-0.00120998508582306,0,-0.102133567485376,-0.0604992542911529,0
0.03,2.23971739486029,-1.38800088700083,-1,-0.00306400702456129,-0.00181497762873459,0,-0.102133567485376,-0.0604992542911529,0
0.04,2.23968164811167,-1.38802206173983,-1,-0.00408534269941506,-0.00241997017164612,0,-0.102133567485376,-0.0604992542911529,0
0.05,2.23963568800631,-1.38804928640426,-1,-0.00510667837426882,-0.00302496271455764,0,-0.102133567485376,-0.0604992542911529,0
0.06,2.23957951454419,-1.38808256099412,-1,-0.00612801404912258,-0.00362995525746917,0,-0.102133567485376,-0.0604992542911529,0
0.07,2.23951312772532,-1.38812188550941,-1,-0.00714934972397635,-0.0042349478003807,0,-0.102133567485376,-0.0604992542911529,0
0.08,2.23943652754971,-1.38816725995013,-1,-0.00817068539883011,-0.00483994034329223,0,-0.102133567485376,-0.0604992542911529,0
0.09,2.23934971401735,-1.38821868431628,-1,-0.00919202107368387,-0.00544493288620376,0,-0.102133567485376,-0.0604992542911529,0
0.1,2.23925268712824,-1.38827615860785,-1,-0.0102133567485376,-0.00604992542911529,0,-0.102133567485376,-0.0604992542911529,0
0.11,2.23914544688238,-1.38833968282486,-1,-0.0112346924233914,-0.00665491797202682,0,-0.102133567485376,-0.0604992542911529,0
0.12,2.23902799327977,-1.38840925696729,-1,-0.0122560280982452,-0.00725991051493835,0,-0.102133567485376,-0.0604992542911529,0
0.13,2.23890032632041,-1.38848488103516,-1,-0.0132773637730989,-0.00786490305784988,0,-0.102133567485376,-0.0604992542911529,0
0.14,2.23876244600431,-1.38856655502845,-1,-0.0142986994479527,-0.00846989560076141,0,-0.102133567485376,-0.0604992542911529,0
0.15,2.23861435233145,-1.38865427894717,-1,-0.0153200351228065,-0.00907488814367293,0,-0.102133567485376,-0.0604992542911529,0
0.16,2.23845604530185,-1.38874805279132,-1,-0.0163413707976602,-0.00967988068658446,0,-0.102133567485376,-0.0604992542911529,0
0.17,2.2382875249155,-1.3888478765609,-1,-0.017362706472514,-0.010284873229496,0,-0.102133567485376,-0.0604992542911529,0
0.18,2.2381087911724,-1.38895375025591,-1,-0.0183840421473677,-0.0108898657724075,0,-0.102133567485376,-0.0604992542911529,0
0.19,2.23791984407255,-1.38906567387635,-1,-0.0194053778222215,-0.011494858315319,0,-0.102133567485376,-0.0604992542911529,0
0.2,2.23772068361596,-1.38918364742222,-1,-0.0204267134970753,-0.0120998508582306,0,-0.102133567485376,-0.0604992542911529,0
0.21,2.23751130980261,-1.38930767089352,-1,-0.021448049171929,-0.0127048434011421,0,-0.102133567485376,-0.0604992542911529,0
0.22,2.23729172263252,-1.38943774429024,-1,-0.0224693848467828,-0.0133098359440536,0,-0.102133567485376,-0.0604992542911529,0
0.23,2.23706192210567,-1.3895738676124,-1,-0.0234907205216366,-0.0139148284869652,0,-0.102133567485376,-0.0604992542911529,0
0.24,2.23682190822208,-1.38971604085998,-1,-0.0245120561964903,-0.0145198210298767,0,-0.102133567485376,-0.0604992542911529,0
0.25,2.23657168098174,-1.389864264033,-1,-0.0255333918713441,-0.0151248135727882,0,-0.102133567485376,-0.0604992542911529,0
0.26,2.23631124038466,-1.39001853713144,-1,-0.0265547275461979,-0.0157298061156998,0,-0.102133567485376,-0.0604992542911529,0
0.27,2.23604058643082,-1.39017886015531,-1,-0.0275760632210516,-0.0163347986586113,0,-0.102133567485376,-0.0604992542911529,0
0.28,2.23575971912024,-1.39034523310461,-1,-0.0285973988959054,-0.0169397912015228,0,-0.102133567485376,-0.0604992542911529,0
0.29,2.2354686384529,-1.39051765597934,-1,-0.0296187345707592,-0.0175447837444343,0,-0.102133567485376,-0.0604992542911529,0
0.3,2.23516734442882,-1.3906961287795,-1,-0.0306400702456129,-0.0181497762873459,0,-0.102133567485376,-0.0604992542911529,0
0.31,2.23485583704799,-1.39088065150509,-1,-0.0316614059204667,-0.0187547688302574,0,-0.102133567485376,-0.0604992542911529,0
0.32,2.23453411631041,-1.3910712241561,-1,-0.0326827415953204,-0.0193597613731689,0,-0.102133567485376,-0.0604992542911529,0
0.33,2.23420218221608,-1.39126784673255,-1,-0.0337040772701742,-0.0199647539160805,0,-0.102133567485376,-0.0604992542911529,0
0.34,2.23386003476501,-1.39147051923443,-1,-0.034725412945028,-0.020569746458992,0,-0.102133567485376,-0.0604992542911529,0
0.35,2.23350767395718,-1.39167924166173,-1,-0.0357467486198817,-0.0211747390019035,0,-0.102133567485376,-0.0604992542911529,0
0.36,2.23314509979261,-1.39189401401446,-1,-0.0367680842947355,-0.021779731544815,0,-0.102133567485376,-0.0604992542911529,0
0.37,2.23277231227129,-1.39211483629263,-1,-0.0377894199695893,-0.0223847240877266,0,-0.102133567485376,-0.0604992542911529,0
0.38,2.23238931139322,-1.39234170849622,-1,-0.038810755644443,-0.0229897166306381,0,-0.102133567485376,-0.0604992542911529,0
0.39,2.2319960971584,-1.39257463062524,-1,-0.0398320913192968,-0.0235947091735496,0,-0.102133567485376,-0.0604992542911529,0
0.4,2.23159266956683,-1.39281360267969,-1,-0.0408534269941506,-0.0241997017164612,0,-0.102133567485376,-0.0604992542911529,0
0.41,2.23117902861852,-1.39305862465957,-1,-0.0418747626690043,-0.0248046942593727,0,-0.102133567485376,-0.0604992542911529,0
0.42,2.23075517431345,-1.39330969656488,-1,-0.0428960983438581,-0.0254096868022842,0,-0.102133567485376,-0.0604992542911529,0
0.43,2.23032110665164,-1.39356681839561,-1,-0.0439174340187118,-0.0260146793451957,0,-0.102133567485376,-0.0604992542911529,0
0.44,2.22987682563308,-1.39382999015178,-1,-0.0449387696935656,-0.0266196718881073,0,-0.102133567485376,-0.0604992542911529,0
0.45,2.22942233125777,-1.39409921183338,-1,-0.0459601053684194,-0.0272246644310188,0,-0.102133567485376,-0.0604992542911529,0
0.46,2.22895762352571,-1.3943744834404,-1,-0.0469814410432731,-0.0278296569739303,0,-0.102133567485376,-0.0604992542911529,0
0.47,2.2284827024369,-1.39465580497286,-1,-0.0480027767181269,-0.0284346495168419,0,-0.102133567485376,-0.0604992542911529,0
0.48,2.22799756799135,-1.39494317643074,-1,-0.0490241123929807,-0.0290396420597534,0,-0.102133567485376,-0.0604992542911529,0
0.49,2.22750222018904,-1.39523659781405,-1,-0.0500454480678344,-0.0296446346026649,0,-0.102133567485376,-0.0604992542911529,0
0.5,2.22699665902999,-1.39553606912279,-1,-0.0510667837426882,-0.0302496271455764,0,-0.102133567485376,-0.0604992542911529,0
0.51,2.22648088451419,-1.39584159035696,-1,-0.052088119417542,-0.030854619688488,0,-0.102133567485376,-0.0604992542911529,0
0.52,2.22595489664164,-1.39615316151656,-1,-0.0531094550923957,-0.0314596122313995,0,-0.102133567485376,-0.0604992542911529,0
0.53,2.22541869541234,-1.39647078260159,-1,-0.0541307907672495,-0.032064604774311,0,-0.102133567485376,-0.0604992542911529,0
0.54,2.2248722808263,-1.39679445361205,-1,-0.0551521264421033,-0.0326695973172226,0,-0.102133567485376,-0.0604992542911529,0
0.55,2.2243156528835,-1.39712417454793,-1,-0.056173462116957,-0.0332745898601341,0,-0.102133567485376,-0.0604992542911529,0
0.56,2.22374881158396,-1.39745994540925,-1,-0.0571947977918108,-0.0338795824030456,0,-0.102133567485376,-0.0604992542911529,0
0.57,2.22317175692766,-1.39780176619599,-1,-0.0582161334666646,-0.0344845749459571,0,-0.102133567485376,-0.0604992542911529,0
0.58,2.22258448891462,-1.39814963690817,-1,-0.0592374691415183,-0.0350895674888687,0,-0.102133567485376,-0.0604992542911529,0
0.59,2.22198700754483,-1.39850355754577,-1,-0.0602588048163721,-0.0356945600317802,0,-0.102133567485376,-0.0604992542911529,0
0.6,2.2213793128183,-1.3988635281088,-1,-0.0612801404912258,-0.0362995525746917,0,-0.102133567485376,-0.0604992542911529,0
0.61,2.22076140473501,-1.39922954859727,-1,-0.0623014761660796,-0.0369045451176033,0,-0.102133567485376,-0.0604992542911529,0
0.62,2.22013328329497,-1.39960161901116,-1,-0.0633228118409334,-0.0375095376605148,0,-0.102133567485376,-0.0604992542911529,0
0.63,2.21949494849819,-1.39997973935048,-1,-0.0643441475157871,-0.0381145302034263,0,-0.102133567485376,-0.0604992542911529,0
0.64,2.21884640034466,-1.40036390961523,-1,-0.0653654831906409,-0.0387195227463379,0,-0.102133567485376,-0.0604992542911529,0
0.65,2.21818763883438,-1.4007541298054,-1,-0.0663868188654947,-0.0393245152892494,0,-0.102133567485376,-0.0604992542911529,0
0.66,2.21751866396735,-1.40115039992101,-1,-0.0674081545403484,-0.0399295078321609,0,-0.102133567485376,-0.0604992542911529,0
0.67,2.21683947574357,-1.40155271996205,-1,-0.0684294902152022,-0.0405345003750724,0,-0.102133567485376,-0.0604992542911529,0
0.68,2.21615007416304,-1.40196108992851,-1,-0.069450825890056,-0.041139492917984,0,-0.102133567485376,-0.0604992542911529,0
0.69,2.21545045922577,-1.40237550982041,-1,-0.0704721615649097,-0.0417444854608955,0,-0.102133567485376,-0.0604992542911529,0
0.7,2.21474063093175,-1.40279597963773,-1,-0.0714934972397635,-0.042349478003807,0,-0.102133567485376,-0.0604992542911529,0
0.71,2.21402058928097,-1.40322249938048,-1,-0.0725148329146172,-0.0429544705467185,0,-0.102133567485376,-0.0604992542911529,0
0.72,2.21329033427345,-1.40365506904866,-1,-0.073536168589471,-0.0435594630896301,0,-0.102133567485376,-0.0604992542911529,0
0.73,2.21254986590918,-1.40409368864227,-1,-0.0745575042643248,-0.0441644556325416,0,-0.102133567485376,-0.0604992542911529,0
0.74,2.21179918418817,-1.40453835816131,-1,-0.0755788399391785,-0.0447694481754531,0,-0.102133567485376,-0.0604992542911529,0
