time_s,q1_rad,q2_rad,q3_cm,dq1_rad_s,dq2_rad_s,dq3_cm_s,ddq1_rad_s2,ddq2_rad_s2,ddq3_cm_s2
0.66,1.98568553831322,-1.54179699614173,-1.4624,0,0,2.72,0,0,-8
0.67,1.98568553831322,-1.54179699614173,-1.4356,0,0,2.64,0,0,-8
0.68,1.98568553831322,-1.54179699614173,-1.4096,0,0,2.56,0,0,-8
0.69,1.98568553831322,-1.54179699614173,-1.3844,0,0,2.48,0,0,-8
0.7,1.98568553831322,-1.54179699614173,-1.36,0,0,2.4,0,0,-8
0.71,1.98568553831322,-1.54179699614173,-1.3364,0,0,2.32,0,0,-8
0.72,1.98568553831322,-1.54179699614173,-1.3136,0,0,2.24,0,0,-8
0.73,1.98568553831322,-1.54179699614173,-1.2916,0,0,2.16,0,0,-8
0.74,1.98568553831322,-1.54179699614173,-1.2704,0,0,2.08,0,0,-8
0.75,1.98568553831322,-1.54179699614173,-1.25,0,0,2,0,0,-8
0.76,1.98568553831322,-1.54179699614173,-1.2304,0,0,1.92,0,0,-8
0.77,1.98568553831322,-1.54179699614173,-1.2116,0,0,1.84,0,0,-8
0.78,1.98568553831322,-1.54179699614173,-1.1936,0,0,1.76,0,0,-8
0.79,1.98568553831322,-1.54179699614173,-1.1764,0,0,1.68,0,0,-8
0.8,1.98568553831322,-1.54179699614173,-1.16,0,0,1.6,0,0,-8
0.81,1.98568553831322,-1.54179699614173,-1.1444,0,0,1.52,0,0,-8
0.82,1.98568553831322,-1.54179699614173,-1.1296,0,0,1.44,0,0,-8
0.83,1.98568553831322,-1.54179699614173,-1.1156,0,0,1.36,0,0,-8
0.84,1.98568553831322,-1.54179699614173,-1.1024,0,0,1.28,0,0,-8
0.85,1.98568553831322,-1.54179699614173,-1.09,0,0,1.2,0,0,-8
0.86,1.98568553831322,-1.54179699614173,-1.0784,0,0,1.12,0,0,-8
0.87,1.98568553831322,-1.54179699614173,-1.0676,0,0,1.04,0,0,-8
0.88,1.98568553831322,-1.54179699614173,-1.0576,0,0,0.96,0,0,-8
0.89,1.98568553831322,-1.54179699614173,-1.0484,0,0,0.88,0,0,-8
0.9,1.98568553831322,-1.54179699614173,-1.04,0,0,0.8,0,0,-8
0.91,1.98568553831322,-1.54179699614173,-1.0324,0,0,0.72,0,0,-8
0.92,1.98568553831322,-1.54179699614173,-1.0256,0,0,0.64,0,0,-8
0.93,1.98568553831322,-1.54179699614173,-1.0196,0,0,0.56,0,0,-8
0.94,1.98568553831322,-1.54179699614173,-1.0144,0,0,0.48,0,0,-8
0.95,1.98568553831322,-1.54179699614173,-1.01,0,0,0.4,0,0,-8
0.96,1.98568553831322,-1.54179699614173,-1.0064,0,0,0.32,0,0,-8
0.97,1.98568553831322,-1.54179699614173,-1.0036,0,0,0.24,0,0,-8
0.98,1.98568553831322,-1.54179699614173,-1.0016,0,0,0.16,0,0,-8
0.99,1.98568553831322,-1.54179699614173,-1.0004,0,0,0.0800000000000001,0,0,-8
1,1.98568553831322,-1.54179699614173,-1,0,0,0,0,0,-8
