time_s,segment,joint1_pos,joint2_pos,joint3_pos,joint1_vel,joint2_vel,joint3_vel,joint1_acc,joint2_acc,joint3_acc,gripper_pos
0,1,3.72743668130821,-2.37626274770677,-15.46,-0,0,0,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
0.02,1,3.727430631561,-2.3762615956919,-15.4599846837607,-0.000604974721406322,0.000115201487081197,0.00153162393162393,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
0.04,1,3.72741248231936,-2.37625813964729,-15.4599387350427,-0.00120994944281264,0.000230402974162395,0.00306324786324786,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
0.06,1,3.72738223358329,-2.37625237957293,-15.4598621538462,-0.00181492416421897,0.000345604461243592,0.0045948717948718,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
0.08,1,3.72733988535279,-2.37624431546884,-15.4597549401709,-0.00241989888562529,0.000460805948324789,0.00612649572649573,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
0.1,1,3.72728543762786,-2.376233947335,-15.4596170940171,-0.00302487360703161,0.000576007435405986,0.00765811965811966,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
0.12,1,3.72721889040851,-2.37622127517142,-15.4594486153846,-0.00362984832843793,0.000691208922487184,0.00918974358974359,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
0.14,1,3.72714024369473,-2.3762062989781,-15.4592495042735,-0.00423482304984425,0.000806410409568381,0.0107213675213675,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
0.16,1,3.72704949748651,-2.37618901875504,-15.4590197606838,-0.00483979777125058,0.000921611896649578,0.0122529914529915,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
0.18,1,3.72694665178388,-2.37616943450223,-15.4587593846154,-0.0054447724926569,0.00103681338373078,0.0137846153846154,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
0.2,1,3.72683170658681,-2.37614754621969,-15.4584683760684,-0.00604974721406322,0.00115201487081197,0.0153162393162393,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
0.22,1,3.72670466189531,-2.3761233539074,-15.4581467350427,-0.00665472193546954,0.00126721635789317,0.0168478632478633,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
0.24,1,3.72656551770939,-2.37609685756537,-15.4577944615385,-0.00725969665687586,0.00138241784497437,0.0183794871794872,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
0.26,1,3.72641427402904,-2.3760680571936,-15.4574115555556,-0.00786467137828219,0.00149761933205556,0.0199111111111111,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
0.28,1,3.72625093085426,-2.37603695279209,-15.456998017094,-0.00846964609968851,0.00161282081913676,0.021442735042735,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
0.3,1,3.72607548818505,-2.37600354436084,-15.4565538461538,-0.00907462082109483,0.00172802230621796,0.022974358974359,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
0.32,1,3.72588794602141,-2.37596783189984,-15.456079042735,-0.00967959554250115,0.00184322379329916,0.0245059829059829,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
0.34,1,3.72568830436335,-2.37592981540911,-15.4555736068376,-0.0102845702639075,0.00195842528038035,0.0260376068376068,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
0.36,1,3.72547656321086,-2.37588949488863,-15.4550375384615,-0.0108895449853138,0.00207362676746155,0.0275692307692308,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
0.38,1,3.72525272256394,-2.37584687033841,-15.4544708376068,-0.0114945197067201,0.00218882825454275,0.0291008547008547,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
0.4,1,3.72501678242259,-2.37580194175845,-15.4538735042735,-0.0120994944281264,0.00230402974162395,0.0306324786324786,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
0.42,1,3.72476874278681,-2.37575470914874,-15.4532455384615,-0.0127044691495328,0.00241923122870514,0.0321641025641026,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
0.44,1,3.72450860365661,-2.3757051725093,-15.4525869401709,-0.0133094438709391,0.00253443271578634,0.0336957264957265,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
