time_s,q1_rad,q2_rad,q3_cm,dq1_rad_s,dq2_rad_s,dq3_cm_s,ddq1_rad_s2,ddq2_rad_s2,ddq3_cm_s2
0,1.0471975511966,-2.0943951023932,-1,0,0,0,0.0754129494262943,0.028255100459438,0
0.01,1.04720132184407,-2.09439368963817,-1,0.000754129494262943,0.00028255100459438,0,0.0754129494262943,0.028255100459438,0
0.02,1.04721263378648,-2.0943894513731,-1,0.00150825898852589,0.00056510200918876,0,0.0754129494262943,0.028255100459438,0
0.03,1.04723148702384,-2.09438238759799,-1,0.00226238848278883,0.00084765301378314,0,0.0754129494262943,0.028255100459438,0
0.04,1.04725788155614,-2.09437249831283,-1,0.00301651797705177,0.00113020401837752,0,0.0754129494262943,0.028255100459438,0
0.05,1.04729181738338,-2.09435978351762,-1,0.00377064747131472,0.0014127550229719,0,0.0754129494262943,0.028255100459438,0
0.06,1.04733329450557,-2.09434424321237,-1,0.00452477696557766,0.00169530602756628,0,0.0754129494262943,0.028255100459438,0
0.07,1.04738231292269,-2.09432587739707,-1,0.0052789064598406,0.00197785703216066,0,0.0754129494262943,0.028255100459438,0
0.08,1.04743887263476,-2.09430468607173,-1,0.00603303595410355,0.00226040803675504,0,0.0754129494262943,0.028255100459438,0
0.09,1.04750297364177,-2.09428066923634,-1,0.00678716544836649,0.00254295904134942,0,0.0754129494262943,0.028255100459438,0
0.1,1.04757461594373,-2.0942538268909,-1,0.00754129494262943,0.0028255100459438,0,0.0754129494262943,0.028255100459438,0
0.11,1.04765379954063,-2.09422415903542,-1,0.00829542443689238,0.00310806105053818,0,0.0754129494262943,0.028255100459438,0
0.12,1.04774052443247,-2.09419166566989,-1,0.00904955393115532,0.00339061205513256,0,0.0754129494262943,0.028255100459438,0
0.13,1.04783479061925,-2.09415634679431,-1,0.00980368342541826,0.00367316305972694,0,0.0754129494262943,0.028255100459438,0
0.14,1.04793659810098,-2.09411820240869,-1,0.0105578129196812,0.00395571406432132,0,0.0754129494262943,0.028255100459438,0
0.15,1.04804594687764,-2.09407723251303,-1,0.0113119424139441,0.0042382650689157,0,0.0754129494262943,0.028255100459438,0
0.16,1.04816283694925,-2.09403343710731,-1,0.0120660719082071,0.00452081607351008,0,0.0754129494262943,0.028255100459438,0
0.17,1.04828726831581,-2.09398681619156,-1,0.01282020140247,0.00480336707810446,0,0.0754129494262943,0.028255100459438,0
0.18,1.0484192409773,-2.09393736976575,-1,0.013574330896733,0.00508591808269884,0,0.0754129494262943,0.028255100459438,0
0.19,1.04855875493374,-2.0938850978299,-1,0.0143284603909959,0.00536846908729322,0,0.0754129494262943,0.028255100459438,0
0.2,1.04870581018512,-2.09383000038401,-1,0.0150825898852589,0.0056510200918876,0,0.0754129494262943,0.028255100459438,0
0.21,1.04886040673145,-2.09377207742807,-1,0.0158367193795218,0.00593357109648198,0,0.0754129494262943,0.028255100459438,0
0.22,1.04902254457271,-2.09371132896208,-1,0.0165908488737848,0.00621612210107636,0,0.0754129494262943,0.028255100459438,0
0.23,1.04919222370892,-2.09364775498604,-1,0.0173449783680477,0.00649867310567074,0,0.0754129494262943,0.028255100459438,0
0.24,1.04936944414008,-2.09358135549996,-1,0.0180991078623106,0.00678122411026512,0,0.0754129494262943,0.028255100459438,0
0.25,1.04955420586617,-2.09351213050384,-1,0.0188532373565736,0.0070637751148595,0,0.0754129494262943,0.028255100459438,0
0.26,1.04974650888721,-2.09344007999767,-1,0.0196073668508365,0.00734632611945388,0,0.0754129494262943,0.028255100459438,0
0.27,1.04994635320319,-2.09336520398145,-1,0.0203614963450995,0.00762887712404826,0,0.0754129494262943,0.028255100459438,0
0.28,1.05015373881411,-2.09328750245519,-1,0.0211156258393624,0.00791142812864264,0,0.0754129494262943,0.028255100459438,0
0.29,1.05036866571997,-2.09320697541888,-1,0.0218697553336254,0.00819397913323702,0,0.0754129494262943,0.028255100459438,0
0.3,1.05059113392078,-2.09312362287252,-1,0.0226238848278883,0.0084765301378314,0,0.0754129494262943,0.028255100459438,0
0.31,1.05082114341653,-2.09303744481612,-1,0.0233780143221512,0.00875908114242578,0,0.0754129494262943,0.028255100459438,0
0.32,1.05105869420722,-2.09294844124967,-1,0.0241321438164142,0.00904163214702016,0,0.0754129494262943,0.028255100459438,0
0.33,1.05130378629286,-2.09285661217318,-1,0.0248862733106771,0.00932418315161453,0,0.0754129494262943,0.028255100459438,0
0.34,1.05155641967344,-2.09276195758664,-1,0.0256404028049401,0.00960673415620892,0,0.0754129494262943,0.028255100459438,0
0.35,1.05181659434896,-2.09266447749006,-1,0.026394532299203,0.0098892851608033,0,0.0754129494262943,0.028255100459438,0
0.36,1.05208431031942,-2.09256417188342,-1,0.027148661793466,0.0101718361653977,0,0.0754129494262943,0.028255100459438,0
0.37,1.05235956758483,-2.09246104076675,-1,0.0279027912877289,0.0104543871699921,0,0.0754129494262943,0.028255100459438,0
0.38,1.05264236614518,-2.09235508414002,-1,0.0286569207819918,0.0107369381745864,0,0.0754129494262943,0.028255100459438,0
0.39,1.05293270600047,-2.09224630200326,-1,0.0294110502762548,0.0110194891791808,0,0.0754129494262943,0.028255100459438,0
0.4,1.0532305871507,-2.09213469435644,-1,0.0301651797705177,0.0113020401837752,0,0.0754129494262943,0.028255100459438,0
0.41,1.05353600959588,-2.09202026119958,-1,0.0309193092647807,0.0115845911883696,0,0.0754129494262943,0.028255100459438,0
0.42,1.053848973336,-2.09190300253267,-1,0.0316734387590436,0.011867142192964,0,0.0754129494262943,0.028255100459438,0
0.43,1.05416947837106,-2.09178291835572,-1,0.0324275682533066,0.0121496931975583,0,0.0754129494262943,0.028255100459438,0
0.44,1.05449752470106,-2.09166000866872,-1,0.0331816977475695,0.0124322442021527,0,0.0754129494262943,0.028255100459438,0
0.45,1.05483311232601,-2.09153427347168,-1,0.0339358272418324,0.0127147952067471,0,0.0754129494262943,0.028255100459438,0
0.46,1.0551762412459,-2.09140571276459,-1,0.0346899567360954,0.0129973462113415,0,0.0754129494262943,0.028255100459438,0
0.47,1.05552691146073,-2.09127432654745,-1,0.0354440862303583,0.0132798972159359,0,0.0754129494262943,0.028255100459438,0
0.48,1.05588512297051,-2.09114011482027,-1,0.0361982157246213,0.0135624482205302,0,0.0754129494262943,0.028255100459438,0
0.49,1.05625087577522,-2.09100307758304,-1,0.0369523452188842,0.0138449992251246,0,0.0754129494262943,0.028255100459438,0
0.5,1.05662416987488,-2.09086321483577,-1,0.0377064747131472,0.014127550229719,0,0.0754129494262943,0.028255100459438,0
0.51,1.05700500526949,-2.09072052657845,-1,0.0384606042074101,0.0144101012343134,0,0.0754129494262943,0.028255100459438,0
0.52,1.05739338195903,-2.09057501281108,-1,0.039214733701673,0.0146926522389078,0,0.0754129494262943,0.028255100459438,0
0.53,1.05778929994352,-2.09042667353367,-1,0.039968863195936,0.0149752032435021,0,0.0754129494262943,0.028255100459438,0
0.54,1.05819275922295,-2.09027550874621,-1,0.0407229926901989,0.0152577542480965,0,0.0754129494262943,0.028255100459438,0
0.55,1.05860375979732,-2.09012151844871,-1,0.0414771221844619,0.0155403052526909,0,0.0754129494262943,0.028255100459438,0
0.56,1.05902230166664,-2.08996470264116,-1,0.0422312516787248,0.0158228562572853,0,0.0754129494262943,0.028255100459438,0
0.57,1.0594483848309,-2.08980506132356,-1,0.0429853811729878,0.0161054072618797,0,0.0754129494262943,0.028255100459438,0
0.58,1.0598820092901,-2.08964259449592,-1,0.0437395106672507,0.016387958266474,0,0.0754129494262943,0.028255100459438,0
0.59,1.06032317504424,-2.08947730215823,-1,0.0444936401615137,0.0166705092710684,0,0.0754129494262943,0.028255100459438,0
0.6,1.06077188209333,-2.0893091843105,-1,0.0452477696557766,0.0169530602756628,0,0.0754129494262943,0.028255100459438,0
0.61,1.06122813043736,-2.08913824095272,-1,0.0460018991500395,0.0172356112802572,0,0.0754129494262943,0.028255100459438,0
0.62,1.06169192007633,-2.08896447208489,-1,0.0467560286443025,0.0175181622848516,0,0.0754129494262943,0.028255100459438,0
0.63,1.06216325101025,-2.08878787770702,-1,0.0475101581385654,0.0178007132894459,0,0.0754129494262943,0.028255100459438,0
0.64,1.0626421232391,-2.0886084578191,-1,0.0482642876328284,0.0180832642940403,0,0.0754129494262943,0.028255100459438,0
